,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,Location,NewConfirmedCases,Latitude,Longitude,Population,Weight
3654,5191,Quebec,Canada,2020-03-16,50.0,0.0,Quebec Canada,26.0,52.4760892,-71.8258668,8485000,3.0642309958750737e-06
6579,9364,,Colombia,2020-03-16,54.0,0.0,Colombia,20.0,2.8894434,-73.783892,50882891,3.930594273819858e-07
20079,28624,North Dakota,US,2020-03-16,1.0,0.0,North Dakota US,0.0,47.6201461,-100.540737,760077,0.0
17379,24772,,Turkey,2020-03-16,18.0,0.0,Turkey,12.0,38.9597594,34.9249653,84339067,1.4228281657419805e-07
20604,29373,South Carolina,US,2020-03-16,33.0,1.0,South Carolina US,5.0,33.6874388,-80.4363743,5084000,9.83477576711251e-07
429,590,,Antigua and Barbuda,2020-03-16,1.0,0.0,Antigua and Barbuda,0.0,17.2234721,-61.9554608,97929,0.0
6804,9685,,Costa Rica,2020-03-16,35.0,0.0,Costa Rica,8.0,10.2735633,-84.0739102,5094118,1.5704386902698367e-06
15579,22204,,Saudi Arabia,2020-03-16,118.0,0.0,Saudi Arabia,15.0,25.6242618,42.3528328,34813871,4.3086274433544033e-07
18279,26056,Guam,US,2020-03-16,3.0,0.0,Guam US,0.0,13.450125700000001,144.75755102972062,164229,0.0
5379,7652,Jiangxi,China,2020-03-16,935.0,1.0,Jiangxi China,0.0,28.0,116.0,45200000,0.0
17979,25628,Delaware,US,2020-03-16,8.0,0.0,Delaware US,1.0,38.6920451,-75.4013315,967171,1.0339433254305599e-06
5754,8187,Qinghai,China,2020-03-16,18.0,0.0,Qinghai China,0.0,35.40709525,95.95211573241954,5627000,0.0
18054,25735,District of Columbia,US,2020-03-16,22.0,0.0,District of Columbia US,6.0,38.893661249999994,-76.98788325388196,633427,9.472283309678936e-06
5679,8080,Ningxia,China,2020-03-16,75.0,0.0,Ningxia China,0.0,37.0000001,105.9999999,6301000,0.0
16254,23167,,South Africa,2020-03-16,62.0,0.0,South Africa,11.0,-28.8166236,24.991639,59308690,1.8547029111585503e-07
54,55,,Afghanistan,2020-03-16,21.0,0.0,Afghanistan,5.0,33.7680065,66.2385139,38928346,1.2844111075256062e-07
12354,17603,,Madagascar,2020-03-16,0.0,0.0,Madagascar,0.0,-18.9249604,46.4416422,25570000,0.0
21729,30978,Anguilla,United Kingdom,2020-03-16,0.0,0.0,Anguilla United Kingdom,0.0,51.53827235,-2.555893281952663,15094,0.0
3579,5084,Prince Edward Island,Canada,2020-03-16,1.0,0.0,Prince Edward Island Canada,0.0,46.503545349999996,-63.595517139914485,156947,0.0
2454,3479,,Bulgaria,2020-03-16,52.0,2.0,Bulgaria,1.0,42.6073975,25.4856617,6948445,1.4391709224150153e-07
12054,17175,,Liechtenstein,2020-03-16,4.0,0.0,Liechtenstein,0.0,47.1416307,9.5531527,38128,0.0
19479,27768,Montana,US,2020-03-16,7.0,0.0,Montana US,0.0,47.3752671,-109.6387579,1062000,0.0
16404,23381,,Sri Lanka,2020-03-16,28.0,0.0,Sri Lanka,10.0,7.5554942,80.7137847,21413249,4.6700059388465526e-07
6204,8829,Tianjin,China,2020-03-16,136.0,3.0,Tianjin China,0.0,39.1235635,117.1980785,15000000,0.0
15954,22739,,Singapore,2020-03-16,243.0,0.0,Singapore,17.0,1.357107,103.8194992,5850342,2.905813027682826e-06
19629,27982,Nevada,US,2020-03-16,45.0,1.0,Nevada US,21.0,39.5158825,-116.8537227,3034000,6.9215557020435065e-06
2379,3372,,Brunei,2020-03-16,54.0,0.0,Brunei,4.0,4.4137155,114.5653908,437479,9.143296021066153e-06
12279,17496,,MS Zaandam,2020-03-16,0.0,0.0,MS Zaandam,0.0,52.4387696,4.8185293,2047,0.0
12654,18031,,Malta,2020-03-16,30.0,0.0,Malta,9.0,35.8885993,14.4476911,441543,2.038306574897575e-05
21354,30443,Wisconsin,US,2020-03-16,47.0,0.0,Wisconsin US,15.0,44.4308975,-89.6884637,5814000,2.579979360165119e-06
16329,23274,,Spain,2020-03-16,9942.0,342.0,Spain,2144.0,39.3262345,-4.8380649,46754778,4.585627590831465e-05
12429,17710,,Malaysia,2020-03-16,566.0,0.0,Malaysia,138.0,4.5693754,102.2656823,32365999,4.2637336792848566e-06
11754,16747,,Latvia,2020-03-16,34.0,0.0,Latvia,4.0,56.8406494,24.7537645,1886198,2.120668137703465e-06
5529,7866,Liaoning,China,2020-03-16,125.0,1.0,Liaoning China,0.0,40.9975197,122.9955469,43900000,0.0
12504,17817,,Maldives,2020-03-16,13.0,0.0,Maldives,0.0,4.7064352,73.3287853,540544,0.0
12129,17282,,Lithuania,2020-03-16,17.0,0.0,Lithuania,5.0,55.3500003,23.7499997,2722289,1.8366896387562084e-06
2604,3693,,Burma,2020-03-16,0.0,0.0,Burma,0.0,17.1750495,95.9999652,53370000,0.0
20529,29266,Rhode Island,US,2020-03-16,21.0,0.0,Rhode Island US,1.0,41.7962409,-71.5992372,1057000,9.46073793755913e-07
19554,27875,Nebraska,US,2020-03-16,18.0,0.0,Nebraska US,1.0,41.7370229,-99.5873816,1929000,5.184033177812338e-07
5904,8401,Shandong,China,2020-03-16,760.0,7.0,Shandong China,0.0,36.0000001,118.9999999,90000000,0.0
12204,17389,,Luxembourg,2020-03-16,77.0,1.0,Luxembourg,18.0,49.8158683,6.1296751,625978,2.8755004169475605e-05
5829,8294,Shaanxi,China,2020-03-16,245.0,2.0,Shaanxi China,0.0,36.0,109.0,37330000,0.0
16179,23060,,Somalia,2020-03-16,1.0,0.0,Somalia,1.0,8.3676771,49.083416,15893222,6.291990384328615e-08
3504,4977,Ontario,Canada,2020-03-16,177.0,0.0,Ontario Canada,73.0,50.000678,-86.000977,14570000,5.010295126973233e-06
2529,3586,,Burkina Faso,2020-03-16,15.0,0.0,Burkina Faso,12.0,12.0753083,-1.6880314,20903273,5.740727779807497e-07
22029,31406,Channel Islands,United Kingdom,2020-03-16,6.0,0.0,Channel Islands United Kingdom,3.0,49.4462088,-2.9028271,173414,1.729964132076995e-05
14753,21026,,Philippines,2020-03-15,140.0,11.0,Philippines,29.0,12.7503486,122.7312101,109581078,2.64644229909839e-07
8228,11717,,Eswatini,2020-03-15,1.0,0.0,Eswatini,0.0,-26.5624806,31.3991317,1160164,0.0
13703,19528,Sint Maarten,Netherlands,2020-03-15,0.0,0.0,Sint Maarten Netherlands,0.0,18.0423736,-63.0549948,41109,0.0
18353,26162,Hawaii,US,2020-03-15,6.0,0.0,Hawaii US,2.0,21.2160437,-157.975203,1420000,1.4084507042253521e-06
10253,14606,,Honduras,2020-03-15,3.0,0.0,Honduras,1.0,15.2572432,-86.0755145,9904607,1.0096311746644768e-07
6878,9791,,Cote d'Ivoire,2020-03-15,1.0,0.0,Cote d'Ivoire,0.0,7.9897371,-5.5679458,26378274,0.0
2078,2943,,Bolivia,2020-03-15,10.0,0.0,Bolivia,0.0,-17.0568696,-64.9912286,11673021,0.0
13628,19421,Curacao,Netherlands,2020-03-15,1.0,0.0,Curacao Netherlands,0.0,12.1845,-68.9640875031406,161014,0.0
8528,12145,French Guiana,France,2020-03-15,7.0,0.0,French Guiana France,2.0,4.0039882,-52.999998,290691,6.880157968426955e-06
8303,11824,,Ethiopia,2020-03-15,1.0,0.0,Ethiopia,0.0,10.2116702,38.6521203,114963588,0.0
11303,16104,,Kenya,2020-03-15,3.0,0.0,Kenya,2.0,1.4419683,38.4313975,53771296,3.7194565665666676e-08
19778,28195,New Jersey,US,2020-03-15,98.0,2.0,New Jersey US,29.0,40.0757384,-74.4041622,8909000,3.255135256482209e-06
14678,20919,,Peru,2020-03-15,43.0,0.0,Peru,5.0,-6.8699697,-75.0458515,32971854,1.516444904796679e-07
8453,12038,,Finland,2020-03-15,244.0,0.0,Finland,19.0,63.2467777,25.9209164,5540720,3.4291572214441445e-06
2228,3157,,Botswana,2020-03-15,0.0,0.0,Botswana,0.0,-23.1681782,24.5928742,2292000,0.0
14603,20812,,Paraguay,2020-03-15,6.0,0.0,Paraguay,0.0,-23.3165935,-58.1693445,7132538,0.0
22103,31512,Gibraltar,United Kingdom,2020-03-15,1.0,0.0,Gibraltar United Kingdom,0.0,52.1411551,1.2009453,34571,0.0
19103,27232,Massachusetts,US,2020-03-15,164.0,0.0,Massachusetts US,26.0,42.3788774,-72.032366,6902000,3.76702405099971e-06
10178,14499,,Holy See,2020-03-15,1.0,0.0,Holy See,0.0,38.9247244,-77.06572732690151,801,0.0
10328,14713,,Hungary,2020-03-15,32.0,1.0,Hungary,2.0,47.1817585,19.5060937,9660351,2.070318148895418e-07
15503,22096,,San Marino,2020-03-15,101.0,5.0,San Marino,21.0,43.9458623,12.458306,33931,0.0006189030679909228
6503,9256,Zhejiang,China,2020-03-15,1231.0,1.0,Zhejiang China,4.0,29.0000001,119.9999999,57370000,6.972285166463308e-08
15653,22310,,Senegal,2020-03-15,24.0,0.0,Senegal,14.0,14.4750607,-14.4529612,16743927,8.361240466468828e-07
878,1231,Queensland,Australia,2020-03-15,61.0,0.0,Queensland Australia,15.0,-22.1646782,144.5844903,5071000,2.9579964504042595e-06
21203,30228,Washington,US,2020-03-15,643.0,40.0,Washington US,71.0,38.8948932,-77.0365529,7536000,9.42144373673036e-06
10103,14392,,Haiti,2020-03-15,0.0,0.0,Haiti,0.0,19.1399952,-72.3570972,10980000,0.0
6728,9577,,Congo (Kinshasa),2020-03-15,2.0,0.0,Congo (Kinshasa),0.0,-2.9814344,23.8222636,89561403,0.0
11378,16211,,"Korea, South",2020-03-15,8162.0,75.0,"Korea, South",76.0,35.7724185,127.79654346305617,51269185,1.482371915995934e-06
12953,18458,,Moldova,2020-03-15,23.0,0.0,Moldova,11.0,47.2879608,28.5670941,4033963,2.726847023634079e-06
8378,11931,,Fiji,2020-03-15,0.0,0.0,Fiji,0.0,-18.1239696,179.0122737,905502,0.0
18653,26590,Iowa,US,2020-03-15,18.0,0.0,Iowa US,1.0,41.9216734,-93.3122705,3156000,3.168567807351077e-07
2153,3050,,Bosnia and Herzegovina,2020-03-15,24.0,0.0,Bosnia and Herzegovina,6.0,44.3053476,17.5961467,3280819,1.8288116473356196e-06
428,589,,Antigua and Barbuda,2020-03-15,1.0,0.0,Antigua and Barbuda,0.0,17.2234721,-61.9554608,97929,0.0
15578,22203,,Saudi Arabia,2020-03-15,103.0,0.0,Saudi Arabia,0.0,25.6242618,42.3528328,34813871,0.0
6803,9684,,Costa Rica,2020-03-15,27.0,0.0,Costa Rica,1.0,10.2735633,-84.0739102,5094118,1.963048362837296e-07
6953,9898,,Croatia,2020-03-15,49.0,0.0,Croatia,11.0,45.5643442,17.0118954,4105267,2.6794846717643455e-06
278,375,,Andorra,2020-03-15,1.0,0.0,Andorra,0.0,42.5407167,1.5732033,77265,0.0
11528,16425,,Kuwait,2020-03-15,112.0,0.0,Kuwait,8.0,29.2733964,47.4979476,4270571,1.8732857971451592e-06
19028,27125,Maryland,US,2020-03-15,32.0,0.0,Maryland US,6.0,39.5162234,-76.9382069,6043000,9.928843289756743e-07
14828,21133,,Poland,2020-03-15,119.0,3.0,Poland,16.0,52.215933,19.134422,37846611,4.227591210214304e-07
1478,2087,,Bahrain,2020-03-15,214.0,0.0,Bahrain,4.0,26.1551249,50.5344606,1701575,2.3507632634471007e-06
20978,29907,Vermont,US,2020-03-15,8.0,0.0,Vermont US,3.0,44.5990718,-72.5002608,626299,4.790044371777697e-06
18278,26055,Guam,US,2020-03-15,3.0,0.0,Guam US,3.0,13.450125700000001,144.75755102972062,164229,1.8267175711963175e-05
20228,28837,Oklahoma,US,2020-03-15,7.0,0.0,Oklahoma US,3.0,34.9550817,-97.2684063,3943000,7.60841998478316e-07
953,1338,South Australia,Australia,2020-03-15,20.0,0.0,South Australia Australia,1.0,-30.5343665,135.6301212,1677000,5.963029218843172e-07
6578,9363,,Colombia,2020-03-15,34.0,0.0,Colombia,12.0,2.8894434,-73.783892,50882891,2.358356564291915e-07
18503,26376,Illinois,US,2020-03-15,93.0,0.0,Illinois US,29.0,40.0796606,-89.4337288,12740000,2.2762951334379907e-06
1628,2301,,Barbados,2020-03-15,0.0,0.0,Barbados,0.0,13.1500331,-59.5250305,287375,0.0
20453,29158,Puerto Rico,US,2020-03-15,5.0,0.0,Puerto Rico US,2.0,18.2214149,-66.41328179513847,3195000,6.259780907668231e-07
11228,15997,,Kazakhstan,2020-03-15,9.0,0.0,Kazakhstan,3.0,47.2286086,65.2093197,18776707,1.597724244192552e-07
14153,20170,,North Macedonia,2020-03-15,14.0,0.0,North Macedonia,0.0,41.6171214,21.7168387,2083374,0.0
10628,15141,,Iran,2020-03-15,13938.0,724.0,Iran,1209.0,32.6475314,54.5643516,83992949,1.4394065387560092e-05
1928,2729,,Benin,2020-03-15,0.0,0.0,Benin,0.0,9.5293472,2.2584408,12123200,0.0
22703,32368,,Vietnam,2020-03-15,56.0,0.0,Vietnam,3.0,13.2904027,108.4265113,97338579,3.082025678636628e-08
19253,27446,Minnesota,US,2020-03-15,35.0,0.0,Minnesota US,14.0,45.9896587,-94.6113288,5611000,2.4950989128497595e-06
1778,2515,,Belgium,2020-03-15,886.0,4.0,Belgium,197.0,50.6402809,4.6667145,11589623,1.6997964472183436e-05
19403,27660,Missouri,US,2020-03-15,5.0,0.0,Missouri US,1.0,38.7604815,-92.5617875,6126000,1.6323865491348351e-07
13778,19635,,Netherlands,2020-03-15,1135.0,20.0,Netherlands,176.0,52.5001698,5.7480821,17134872,1.027145110859305e-05
9953,14178,,Guinea-Bissau,2020-03-15,0.0,0.0,Guinea-Bissau,0.0,12.100035,-14.9000214,1861000,0.0
1553,2194,,Bangladesh,2020-03-15,5.0,0.0,Bangladesh,2.0,24.4768783,90.2932426,164689383,1.2144073671099977e-08
12803,18244,,Mauritius,2020-03-15,0.0,0.0,Mauritius,0.0,-20.2759451,57.5703566,1271768,0.0
6428,9149,Yunnan,China,2020-03-15,174.0,2.0,Yunnan China,0.0,25.0,102.0,45970000,0.0
15803,22524,,Seychelles,2020-03-15,2.0,0.0,Seychelles,0.0,-4.6574977,55.4540146,98347,0.0
8603,12252,French Polynesia,France,2020-03-15,3.0,0.0,French Polynesia France,0.0,-16.03442485,-146.0490931059517,283007,0.0
2303,3264,,Brazil,2020-03-15,162.0,0.0,Brazil,11.0,-10.3333333,-53.2,212559417,5.17502360292981e-08
20603,29372,South Carolina,US,2020-03-15,28.0,0.0,South Carolina US,9.0,33.6874388,-80.4363743,5084000,1.7702596380802519e-06
11678,16639,,Laos,2020-03-15,0.0,0.0,Laos,0.0,20.0171109,103.378253,6858000,0.0
11603,16532,,Kyrgyzstan,2020-03-15,0.0,0.0,Kyrgyzstan,0.0,41.5089324,74.724091,6524195,0.0
8153,11610,,Estonia,2020-03-15,171.0,0.0,Estonia,56.0,58.7523778,25.3319078,1326535,4.221524498034353e-05
22778,32475,,West Bank and Gaza,2020-03-15,38.0,0.0,West Bank and Gaza,3.0,31.4331663,34.3779285,4685000,6.4034151547492e-07
15728,22417,,Serbia,2020-03-15,48.0,0.0,Serbia,2.0,44.024322850000004,21.07657433209902,8737371,2.2890180581779117e-07
22328,31833,Turks and Caicos Islands,United Kingdom,2020-03-15,0.0,0.0,Turks and Caicos Islands United Kingdom,0.0,51.5199932,-0.1590354,35446,0.0
12878,18351,,Mexico,2020-03-15,41.0,0.0,Mexico,15.0,19.4326296,-99.1331785,128932753,1.1633971703062914e-07
22928,32689,,Zimbabwe,2020-03-15,0.0,0.0,Zimbabwe,0.0,-18.4554963,29.7468414,16530000,0.0
10028,14285,,Guyana,2020-03-15,4.0,1.0,Guyana,3.0,4.8417097,-58.6416891,786552,3.814115277820157e-06
353,482,,Angola,2020-03-15,0.0,0.0,Angola,0.0,-11.8775768,17.5691241,32866272,0.0
7853,11182,,Egypt,2020-03-15,110.0,2.0,Egypt,1.0,26.2540493,29.2675469,102334404,9.771884731942153e-09
11453,16318,,Kosovo,2020-03-15,0.0,0.0,Kosovo,0.0,42.5869578,20.9021231,1810463,0.0
3203,4548,New Brunswick,Canada,2020-03-15,2.0,0.0,New Brunswick Canada,1.0,46.500283,-66.750183,776827,1.2872879032268445e-06
4778,6795,Hebei,China,2020-03-15,318.0,6.0,Hebei China,0.0,39.0000001,116.0,74700000,0.0
4403,6260,Gansu,China,2020-03-15,133.0,2.0,Gansu China,4.0,38.0000001,101.9999999,25580000,1.563721657544957e-07
5228,7437,Inner Mongolia,China,2020-03-15,75.0,1.0,Inner Mongolia China,0.0,43.2443242,114.3251664,24710000,0.0
21578,30763,,Ukraine,2020-03-15,3.0,1.0,Ukraine,0.0,49.4871968,31.2718321,43733762,0.0
17978,25627,Delaware,US,2020-03-15,7.0,0.0,Delaware US,1.0,38.6920451,-75.4013315,967171,1.0339433254305599e-06
4853,6902,Heilongjiang,China,2020-03-15,482.0,13.0,Heilongjiang China,0.0,48.0000047,127.999992,38310000,0.0
17003,24236,,Thailand,2020-03-15,114.0,1.0,Thailand,32.0,14.8971921,100.83273,69799978,4.584528665610754e-07
22178,31619,Isle of Man,United Kingdom,2020-03-15,0.0,0.0,Isle of Man United Kingdom,0.0,54.2358167,-4.514598745698255,84287,0.0
17078,24343,,Timor-Leste,2020-03-15,0.0,0.0,Timor-Leste,0.0,-8.5151979,125.8375756,1296000,0.0
3953,5618,,Chad,2020-03-15,0.0,0.0,Chad,0.0,15.6134137,19.0156172,14900000,0.0
2903,4120,,Cameroon,2020-03-15,2.0,0.0,Cameroon,0.0,4.6125522,13.1535811,26545863,0.0
21653,30870,,United Arab Emirates,2020-03-15,98.0,0.0,United Arab Emirates,13.0,24.0002488,53.9994829,9890402,1.3144056227441514e-06
4328,6153,Fujian,China,2020-03-15,296.0,1.0,Fujian China,0.0,26.5450001,117.842778,38560000,0.0
3578,5083,Prince Edward Island,Canada,2020-03-15,1.0,0.0,Prince Edward Island Canada,1.0,46.503545349999996,-63.595517139914485,156947,6.371577666345964e-06
3728,5297,Saskatchewan,Canada,2020-03-15,2.0,0.0,Saskatchewan Canada,0.0,55.5321257,-106.1412243,1174000,0.0
4928,7009,Henan,China,2020-03-15,1273.0,22.0,Henan China,0.0,34.0000001,113.9999999,94000000,0.0
4478,6367,Guangdong,China,2020-03-15,1360.0,8.0,Guangdong China,4.0,23.1357694,113.1982688,113460000,3.5254715318173804e-08
19928,28409,New York,US,2020-03-15,732.0,3.0,New York US,207.0,40.7127281,-74.0060152,8623000,2.400556650817581e-05
17903,25520,Connecticut,US,2020-03-15,24.0,0.0,Connecticut US,2.0,41.6500201,-72.7342163,3573000,5.597537083683179e-07
17153,24450,,Togo,2020-03-15,1.0,0.0,Togo,0.0,8.7800265,1.0199765,8278724,0.0
10928,15569,,Italy,2020-03-15,24747.0,1809.0,Italy,3590.0,42.6384261,12.674297,60461826,5.937630795338533e-05
17828,25413,Colorado,US,2020-03-15,131.0,1.0,Colorado US,30.0,38.7251776,-105.6077167,5696000,5.2668539325842694e-06
16403,23380,,Sri Lanka,2020-03-15,18.0,0.0,Sri Lanka,8.0,7.5554942,80.7137847,21413249,3.736004751077242e-07
3503,4976,Ontario,Canada,2020-03-15,104.0,0.0,Ontario Canada,25.0,50.000678,-86.000977,14570000,1.7158544955387783e-06
17528,24985,Alaska,US,2020-03-15,1.0,0.0,Alaska US,1.0,64.4459613,-149.680909,737438,1.3560462032062356e-06
5303,7544,Jiangsu,China,2020-03-15,631.0,0.0,Jiangsu China,0.0,33.0000001,119.9999999,80400000,0.0
16703,23808,,Switzerland,2020-03-15,2200.0,14.0,Switzerland,841.0,46.7985624,8.2319736,8654622,9.717351029311274e-05
22553,32154,,Uzbekistan,2020-03-15,1.0,0.0,Uzbekistan,1.0,41.32373,63.9528098,33469203,2.987821371187118e-08
17678,25199,Arkansas,US,2020-03-15,16.0,0.0,Arkansas US,4.0,35.2048883,-92.4479108,301400,1.3271400132714001e-05
3803,5404,Yukon,Canada,2020-03-15,0.0,0.0,Yukon Canada,0.0,63.000147,-136.002502,40854,0.0
16628,23701,,Sweden,2020-03-15,1022.0,3.0,Sweden,61.0,59.6749712,14.5208584,10099265,6.04004350811668e-06
16928,24129,,Tanzania,2020-03-15,0.0,0.0,Tanzania,0.0,-6.5247123,35.7878438,59734218,0.0
3353,4762,Northwest Territories,Canada,2020-03-15,0.0,0.0,Northwest Territories Canada,0.0,65.0000004,-118.0,44826,0.0
17603,25092,Arizona,US,2020-03-15,13.0,0.0,Arizona US,1.0,34.395342,-111.7632755,7172000,1.3943112102621304e-07
16553,23594,,Suriname,2020-03-15,1.0,0.0,Suriname,0.0,4.1413025,-56.0771187,586632,0.0
3428,4869,Nova Scotia,Canada,2020-03-15,0.0,0.0,Nova Scotia Canada,0.0,45.1960403,-63.1653789,971395,0.0
2753,3906,,Cabo Verde,2020-03-15,0.0,0.0,Cabo Verde,0.0,16.0000552,-24.0083947,546388,0.0
6653,9470,,Congo (Brazzaville),2020-03-15,1.0,0.0,Congo (Brazzaville),1.0,-0.7264327,15.6419155,5518087,1.812222242962099e-07
3053,4334,British Columbia,Canada,2020-03-15,73.0,1.0,British Columbia Canada,9.0,55.001251,-125.002441,5071000,1.7747978702425558e-06
4628,6581,Guizhou,China,2020-03-15,146.0,2.0,Guizhou China,0.0,27.0,107.0,34750000,0.0
5153,7330,Hunan,China,2020-03-15,1018.0,4.0,Hunan China,0.0,39.144002,-76.8977145,67370000,0.0
21353,30442,Wisconsin,US,2020-03-15,32.0,0.0,Wisconsin US,5.0,44.4308975,-89.6884637,5814000,8.599931200550395e-07
2828,4013,,Cambodia,2020-03-15,7.0,0.0,Cambodia,0.0,13.5066394,104.869423,16718965,0.0
2603,3692,,Burma,2020-03-15,0.0,0.0,Burma,0.0,17.1750495,95.9999652,53370000,0.0
4103,5832,Anhui,China,2020-03-15,990.0,6.0,Anhui China,0.0,32.0,117.0,62000000,0.0
3878,5511,,Central African Republic,2020-03-15,1.0,0.0,Central African Republic,1.0,7.0323598,19.9981227,37742154,2.6495573093152022e-08
4253,6046,Chongqing,China,2020-03-15,576.0,6.0,Chongqing China,0.0,29.5585712,106.5492822,30480000,0.0
5078,7223,Hubei,China,2020-03-15,67794.0,3085.0,Hubei China,4.0,31.15172525,112.87832224656043,58500000,6.837606837606837e-08
19853,28302,New Mexico,US,2020-03-15,13.0,0.0,New Mexico US,3.0,34.5708167,-105.993007,2095000,1.431980906921241e-06
5453,7758,Jilin,China,2020-03-15,93.0,1.0,Jilin China,0.0,42.9995032,125.9816054,27460000,0.0
4178,5939,Beijing,China,2020-03-15,442.0,8.0,Beijing China,5.0,39.906217,116.3912757,21540000,2.3212627669452183e-07
16328,23273,,Spain,2020-03-15,7798.0,289.0,Spain,1407.0,39.3262345,-4.8380649,46754778,3.009318106483149e-05
2978,4227,Alberta,Canada,2020-03-15,39.0,0.0,Alberta Canada,10.0,55.001251,-115.002136,4371000,2.2878059940517044e-06
3653,5190,Quebec,Canada,2020-03-15,24.0,0.0,Quebec Canada,7.0,52.4760892,-71.8258668,8485000,8.249852681202122e-07
12353,17602,,Madagascar,2020-03-15,0.0,0.0,Madagascar,0.0,-18.9249604,46.4416422,25570000,0.0
4028,5725,,Chile,2020-03-15,74.0,0.0,Chile,13.0,-31.7613365,-71.3187697,19116201,6.800514390908528e-07
17303,24664,,Tunisia,2020-03-15,18.0,0.0,Tunisia,0.0,33.8439408,9.400138,11818619,0.0
2678,3799,,Burundi,2020-03-15,0.0,0.0,Burundi,0.0,-3.3634357,29.8870575,10860000,0.0
21503,30656,,Uganda,2020-03-15,0.0,0.0,Uganda,0.0,1.5333554,32.2166578,42860000,0.0
3128,4441,Manitoba,Canada,2020-03-15,4.0,0.0,Manitoba Canada,0.0,55.001251,-97.001038,1369000,0.0
4703,6688,Hainan,China,2020-03-15,168.0,6.0,Hainan China,0.0,19.2000001,109.5999999,9258000,0.0
17378,24771,,Turkey,2020-03-15,6.0,0.0,Turkey,1.0,38.9597594,34.9249653,84339067,1.1856901381183171e-08
17753,25306,California,US,2020-03-15,426.0,6.0,California US,86.0,36.7014631,-118.7559974,39560000,2.1739130434782607e-06
17453,24878,Alabama,US,2020-03-15,12.0,0.0,Alabama US,6.0,33.2588817,-86.8295337,4888000,1.227495908346972e-06
3278,4655,Newfoundland and Labrador,Canada,2020-03-15,1.0,0.0,Newfoundland and Labrador Canada,1.0,53.8217327,-61.2295532,521542,1.9173911209451973e-06
5003,7116,Hong Kong,China,2020-03-15,145.0,4.0,Hong Kong China,5.0,22.2793278,114.1628131,7392000,6.764069264069264e-07
4553,6474,Guangxi,China,2020-03-15,252.0,2.0,Guangxi China,0.0,24.0,109.0,48380000,0.0
20003,28516,North Carolina,US,2020-03-15,33.0,0.0,North Carolina US,9.0,35.6729639,-79.0392919,10380000,8.670520231213873e-07
16853,24022,,Taiwan*,2020-03-15,59.0,1.0,Taiwan*,6.0,23.9739374,120.9820179,23816775,2.519232767660609e-07
16478,23487,,Sudan,2020-03-15,1.0,1.0,Sudan,0.0,14.5844444,29.4917691,43849260,0.0
21428,30549,Wyoming,US,2020-03-15,3.0,0.0,Wyoming US,1.0,43.1700264,-107.5685348,577737,1.7308913917578415e-06
5528,7865,Liaoning,China,2020-03-15,125.0,1.0,Liaoning China,0.0,40.9975197,122.9955469,43900000,0.0
16778,23915,,Syria,2020-03-15,0.0,0.0,Syria,0.0,34.6401861,39.0494106,18270000,0.0
17228,24557,,Trinidad and Tobago,2020-03-15,2.0,0.0,Trinidad and Tobago,0.0,10.8677845,-60.9821067,1399488,0.0
5378,7651,Jiangxi,China,2020-03-15,935.0,1.0,Jiangxi China,0.0,28.0,116.0,45200000,0.0
13553,19314,Aruba,Netherlands,2020-03-15,2.0,0.0,Aruba Netherlands,0.0,12.4902998,-69.9609842,105264,0.0
21128,30121,Virginia,US,2020-03-15,45.0,1.0,Virginia US,4.0,37.1232245,-78.4927721,8518000,4.69593801361822e-07
6053,8614,Shanxi,China,2020-03-15,133.0,0.0,Shanxi China,0.0,37.0,112.0,36500000,0.0
14378,20491,,Pakistan,2020-03-15,53.0,0.0,Pakistan,22.0,30.3308401,71.247499,220892340,9.959602945036482e-08
128,161,,Albania,2020-03-15,42.0,1.0,Albania,4.0,41.000028,19.9999619,2877797,1.389952105725317e-06
16028,22845,,Slovakia,2020-03-15,54.0,0.0,Slovakia,10.0,48.7411522,19.4528646,5459642,1.8316219268589406e-06
9578,13643,,Ghana,2020-03-15,6.0,0.0,Ghana,3.0,8.0300284,-1.0800271,31072940,9.654702773538648e-08
5828,8293,Shaanxi,China,2020-03-15,245.0,2.0,Shaanxi China,0.0,36.0,109.0,37330000,0.0
19703,28088,New Hampshire,US,2020-03-15,13.0,0.0,New Hampshire US,6.0,43.4849133,-71.6553992,1356000,4.424778761061947e-06
11903,16960,,Liberia,2020-03-15,0.0,0.0,Liberia,0.0,5.7499721,-9.3658524,5057681,0.0
21278,30335,West Virginia,US,2020-03-15,0.0,0.0,West Virginia US,0.0,38.4758406,-80.8408415,1806000,0.0
22478,32047,,Uruguay,2020-03-15,4.0,0.0,Uruguay,0.0,-32.8755548,-56.0201525,3473730,0.0
6128,8721,Sichuan,China,2020-03-15,539.0,3.0,Sichuan China,0.0,30.5000001,102.4999999,81100000,0.0
9428,13429,,Georgia,2020-03-15,33.0,0.0,Georgia,3.0,32.3293809,-83.1137366,3989167,7.520367034019884e-07
12428,17709,,Malaysia,2020-03-15,428.0,0.0,Malaysia,190.0,4.5693754,102.2656823,32365999,5.870357964232774e-06
14453,20598,,Panama,2020-03-15,43.0,1.0,Panama,7.0,8.559559,-81.1308434,4314767,1.6223355745513026e-06
1028,1445,Tasmania,Australia,2020-03-15,6.0,0.0,Tasmania Australia,1.0,-42.14220555,146.6723517878467,515000,1.941747572815534e-06
